Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
6,5,5,93,51,8.12,47012.0,26969.0,26.0,0
6,0,5,20,4,7.36,18021.0,10344.0,1.0,0
0,3,4,94,10,5.33,11083.0,7255.0,2.0,1
0,3,9,33,16,7.75,18729.0,10837.0,6.0,0
0,3,9,6,16,7.4,14246.0,7672.0,6.0,1
0,0,8,71,2,7.93,86936.0,50107.0,1.0,0
0,0,6,66,50,6.88,6892.0,3095.0,1.0,1
2,5,12,95,49,6.08,8727.0,3116.0,13.0,1
0,5,6,29,34,7.3,117553.0,68073.0,27.0,0
0,5,9,46,34,7.88,232996.0,150266.0,54.0,0
1,5,6,23,4,7.19,39250.0,18678.0,13.0,0
6,5,9,27,12,6.88,17744.0,7813.0,24.0,0
1,5,9,32,12,6.38,9049.0,4187.0,12.0,1
2,3,9,32,12,6.18,4226.0,1745.0,3.0,1
1,3,9,27,12,6.81,5236.0,2576.0,4.0,1
2,3,9,96,1,6.44,5630.0,2376.0,1.0,1
0,4,9,23,13,7.48,10824.0,4297.0,1.0,1
6,5,4,18,2,6.97,13208.0,4675.0,25.0,1
1,5,6,23,2,6.8,27742.0,14095.0,12.0,0
1,3,9,2,4,6.64,25111.0,14303.0,2.0,0
0,3,6,0,2,7.18,18019.0,6687.0,4.0,0
0,5,9,0,0,7.58,57341.0,24349.0,26.0,0
6,5,9,2,16,7.17,23763.0,10220.0,26.0,0
9,5,5,6,55,7.94,26012.0,9471.0,26.0,0
6,0,6,97,36,8.47,187773.0,118901.0,1.0,0
0,5,9,3,67,7.42,20933.0,9865.0,25.0,0
20,2,8,0,0,5.82,2563.0,797.0,6.0,1
1,5,6,19,44,6.48,25986.0,12103.0,13.0,0
1,5,14,98,6,7.0,4889.0,2582.0,10.0,1
6,3,9,0,35,6.34,6937.0,3453.0,2.0,1
1,5,6,99,53,7.86,7856.0,2198.0,48.0,1
6,5,9,19,39,7.7,65196.0,22943.0,24.0,0
8,0,6,44,36,8.3,129607.0,72866.0,1.0,0
15,5,14,67,34,7.55,42462.0,16087.0,11.0,0
1,5,5,27,24,7.63,75021.0,38672.0,6.0,0
19,3,6,100,33,6.11,9561.0,5468.0,2.0,1
0,5,6,26,34,8.12,14033.0,6534.0,21.0,0
1,5,5,12,24,6.68,19479.0,9122.0,12.0,0
6,5,4,62,26,7.08,1280.0,408.0,26.0,1
2,5,9,3,0,7.56,28229.0,8404.0,26.0,0
15,3,6,20,2,6.92,9373.0,4807.0,1.0,1
